iter	Passed	Remaining
0	4	977
1	8	886
2	12	846
3	16	827
4	20	806
5	24	794
6	28	786
7	32	785
8	36	778
9	40	771
10	44	763
11	48	761
12	52	748
13	55	737
14	57	708
15	59	682
16	62	672
17	64	652
18	66	631
19	72	651
20	74	636
21	76	619
22	78	606
23	80	592
24	82	578
25	84	564
26	86	552
27	87	539
28	89	528
29	91	518
30	93	511
31	95	501
32	97	492
33	99	484
34	100	472
35	101	463
36	103	455
37	104	445
38	106	439
39	108	434
40	110	428
41	112	423
42	114	417
43	115	410
44	117	404
45	119	398
46	121	394
47	123	390
48	125	386
49	127	382
50	129	377
51	130	372
52	132	367
53	134	362
54	135	358
55	137	354
56	139	351
57	141	346
58	143	342
59	144	337
60	146	333
61	147	328
62	149	324
63	150	320
64	152	316
65	154	313
66	156	310
67	157	306
68	159	302
69	161	299
70	162	296
71	164	292
72	166	290
73	168	287
74	170	284
75	172	281
76	174	278
77	176	275
78	177	272
79	179	269
80	181	267
81	183	264
82	185	261
83	187	258
84	189	255
85	191	253
86	193	250
87	194	247
88	196	244
89	198	242
90	199	239
91	201	236
92	203	234
93	205	231
94	207	228
95	208	226
96	211	224
97	212	221
98	214	219
99	216	216
100	218	214
101	220	211
102	222	209
103	223	206
104	225	204
105	227	201
106	229	199
107	231	196
108	232	194
109	234	192
110	236	189
111	238	187
112	239	184
113	241	181
114	242	179
115	244	176
116	245	174
117	247	171
118	249	169
119	250	167
120	252	164
121	253	162
122	255	160
123	257	157
124	258	155
125	260	152
126	262	150
127	264	148
128	265	146
129	267	143
130	269	141
131	270	139
132	272	137
133	273	134
134	275	132
135	276	130
136	278	128
137	280	125
138	281	123
139	283	121
140	285	119
141	287	117
142	288	115
143	290	112
144	291	110
145	293	108
146	295	106
147	296	104
148	298	102
149	300	100
150	301	97
151	303	95
152	305	93
153	306	91
154	308	89
155	309	87
156	311	85
157	313	83
158	315	81
159	316	79
160	318	77
161	320	75
162	321	72
163	323	70
164	324	68
165	326	66
166	328	64
167	329	62
168	331	60
169	332	58
170	334	56
171	335	54
172	337	52
173	339	50
174	340	48
175	342	46
176	343	44
177	345	42
178	346	40
179	348	38
180	349	36
181	351	34
182	353	32
183	354	30
184	356	28
185	359	27
186	361	25
187	362	23
188	364	21
189	366	19
190	368	17
191	369	15
192	372	13
193	374	11
194	377	9
195	379	7
196	380	5
197	382	3
198	384	1
199	386	0
